comparison,instance_sha256,instance,users,agents,visits,seed,left_method,right_method,left_status,right_status,both_optimum,left_similarity,right_similarity,delta_similarity,left_continuity,right_continuity,delta_continuity,left_overtime,right_overtime,delta_overtime
weighted-to-continuity-first,23421d631ba25e8a6e9fc662d65c83fe6fccb717088483d568dab2b286aa89db,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1002_critical.txt,40,15,4,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,592.0,521.0,-71.0,11.0,2.0,-9.0,13.0,0.0,-13.0
weighted-to-continuity-first,2e89d655657e6565c5ecb975872229f2b89227e9d8d4becfc0d4e18894748b91,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1003_critical.txt,40,20,4,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,572.0,534.0,-38.0,8.0,0.0,-8.0,11.0,0.0,-11.0
weighted-to-continuity-first,34bd64e4677b21f310faa4406545db874dca6ae220c9a65e8a35f01abe1b0955,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1002_critical.txt,30,20,4,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,439.0,411.0,-28.0,4.0,0.0,-4.0,8.0,0.0,-8.0
weighted-to-continuity-first,395a48f8a39788bea86b6f70fb9ec6a2a924a9f8f08e8639adaf51dba4e7ae85,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1003_critical.txt,40,10,4,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,558.0,520.0,-38.0,9.0,1.0,-8.0,12.0,0.0,-12.0
weighted-to-continuity-first,3df9ad93fd31450b47bc05e23b939b69e8ff446e817f1dae19bc71c5f2d8d73d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1003_critical.txt,40,25,4,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,573.0,537.0,-36.0,6.0,0.0,-6.0,13.0,0.0,-13.0
weighted-to-continuity-first,4e512df627d17612d29d4a3e5f36bd78eb17641a1923ef501751875f036a5ae9,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1003_critical.txt,40,25,5,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,722.0,666.0,-56.0,11.0,0.0,-11.0,12.0,0.0,-12.0
weighted-to-continuity-first,51df0f9f4a354e14ce203c3399ff72e9f90e0370b7b497467427e1d198dd119e,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1001_critical.txt,30,25,5,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,574.0,537.0,-37.0,0.0,0.0,0.0,16.0,0.0,-16.0
weighted-to-continuity-first,559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,40,10,5,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,732.0,668.0,-64.0,16.0,4.0,-12.0,15.0,0.0,-15.0
weighted-to-continuity-first,5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,40,25,4,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,595.0,549.0,-46.0,10.0,1.0,-9.0,9.0,0.0,-9.0
weighted-to-continuity-first,60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,40,15,4,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,569.0,524.0,-45.0,8.0,0.0,-8.0,13.0,0.0,-13.0
weighted-to-continuity-first,62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,30,15,5,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,555.0,490.0,-65.0,8.0,2.0,-6.0,15.0,1.0,-14.0
weighted-to-continuity-first,639577696bca853293d2ae7d38a7ba6a70e96d5c5a65dbe9dd57285b00a779ad,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1002_critical.txt,30,10,5,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,547.0,491.0,-56.0,9.0,3.0,-6.0,14.0,0.0,-14.0
weighted-to-continuity-first,64a7b2c2ff975f7b043d37a3b7cd606305b2dcbf5aed735f467f0ff6c51b422e,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1003_critical.txt,30,15,5,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,522.0,491.0,-31.0,6.0,0.0,-6.0,7.0,0.0,-7.0
weighted-to-continuity-first,65de3dfdc16f9c773e9874c2357071bf31732b49485a995a839ed1f4d259a558,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1003_critical.txt,30,20,5,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,528.0,498.0,-30.0,5.0,0.0,-5.0,7.0,0.0,-7.0
weighted-to-continuity-first,68e2b74d850c1069e78bc56681e6d252a2a8df6699aceb2e6aaffeff722beca0,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1003_critical.txt,30,20,4,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,429.0,415.0,-14.0,6.0,0.0,-6.0,2.0,0.0,-2.0
weighted-to-continuity-first,6a86d9e04419d5434a8ac83437d7b4c9067045575a2a45a9a29888e5d862b401,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1002_critical.txt,40,25,5,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,750.0,673.0,-77.0,12.0,1.0,-11.0,12.0,0.0,-12.0
weighted-to-continuity-first,7a04660fc90733bd70c078b57f1458a7d6d3407d9182f01d456779938bbe7cac,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1001_critical.txt,30,25,4,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,450.0,419.0,-31.0,2.0,0.0,-2.0,11.0,0.0,-11.0
weighted-to-continuity-first,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,30,20,5,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,553.0,491.0,-62.0,9.0,2.0,-7.0,13.0,0.0,-13.0
weighted-to-continuity-first,8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,40,20,4,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,588.0,529.0,-59.0,9.0,1.0,-8.0,12.0,0.0,-12.0
weighted-to-continuity-first,935abeb825bf65f5eb6f564d142868752b8f09cc140daeead539a193eee52b75,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1001_critical.txt,40,15,4,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,600.0,571.0,-29.0,2.0,0.0,-2.0,11.0,0.0,-11.0
weighted-to-continuity-first,93e26e12184989f851e4f91e33046006e375b0bdc1069591b75e6f5d66e9d66b,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1002_critical.txt,40,10,4,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,582.0,523.0,-59.0,10.0,3.0,-7.0,14.0,0.0,-14.0
weighted-to-continuity-first,9b4ded7517693f18fc14c67224a40507d9d4088119616e90b89f0bbcadb2445d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1001_critical.txt,40,20,5,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,754.0,715.0,-39.0,4.0,0.0,-4.0,14.0,0.0,-14.0
weighted-to-continuity-first,addefcd65569a464f6ade877201060bec8b3edf54c9784bd4a2ce47e7fa65a0a,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1001_critical.txt,40,15,5,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,748.0,712.0,-36.0,3.0,0.0,-3.0,14.0,0.0,-14.0
weighted-to-continuity-first,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,40,20,5,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,740.0,659.0,-81.0,10.0,1.0,-9.0,14.0,0.0,-14.0
weighted-to-continuity-first,b98e75059c523562fbab64282673d9ea225242fe21209b5e428aee89aa625edd,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1001_critical.txt,40,10,4,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,593.0,561.0,-32.0,1.0,0.0,-1.0,12.0,0.0,-12.0
weighted-to-continuity-first,bf02b641d1ae8d30c144fab0d28c5aca968d3331c2c020b30c1e45791af1e438,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1002_critical.txt,30,10,4,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,433.0,409.0,-24.0,5.0,2.0,-3.0,10.0,0.0,-10.0
weighted-to-continuity-first,cf5584e50c87aace73c609c7ad0a93612c40b8323ca8f8a5664aa14449736764,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1001_critical.txt,30,15,4,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,443.0,416.0,-27.0,1.0,0.0,-1.0,11.0,0.0,-11.0
weighted-to-continuity-first,d4d3d128eb54871902a41a24c690d5559af2a39138098ef2902d8f1e4d8089a8,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1001_critical.txt,30,20,4,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,446.0,417.0,-29.0,2.0,0.0,-2.0,10.0,0.0,-10.0
weighted-to-continuity-first,d83d36c93f2b20d42d2082b908832af7a5bf6831774fa8060410156fd9f71c3d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1003_critical.txt,40,20,5,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,718.0,660.0,-58.0,10.0,0.0,-10.0,14.0,0.0,-14.0
weighted-to-continuity-first,d905fad91222982a08a22ae863c33e30bfbfd97c54ac14ec4029959a98d9ffe3,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1001_critical.txt,30,15,5,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,565.0,535.0,-30.0,0.0,0.0,0.0,14.0,0.0,-14.0
weighted-to-continuity-first,de23508d979db3048be208918f8d51242d991165e80c2414fca7a3ce4ee5b17d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1002_critical.txt,30,25,4,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,443.0,422.0,-21.0,4.0,1.0,-3.0,9.0,1.0,-8.0
weighted-to-continuity-first,e045b0692d9963b967cc37f3afb3e58c3e9aff61a3ca6f5ab662629dc35b3201,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1001_critical.txt,40,25,5,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,760.0,713.0,-47.0,5.0,0.0,-5.0,14.0,0.0,-14.0
weighted-to-continuity-first,e90c35e7cece54d3787eeeb644bcf0edacb9c7c339799fb4aaa218f9d27dc487,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1003_critical.txt,30,25,5,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,529.0,498.0,-31.0,8.0,0.0,-8.0,4.0,0.0,-4.0
weighted-to-continuity-first,ecef75f227343cde9e2c9dfd880ff2779326fa051917a8a437023079d7d1ee16,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1003_critical.txt,30,10,4,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,416.0,408.0,-8.0,4.0,0.0,-4.0,2.0,0.0,-2.0
weighted-to-continuity-first,f0260653f1c0ec8a84896f38a9bfdbc795d01316d5a47411bbb0a60f7a6e9958,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1001_critical.txt,30,10,5,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,561.0,531.0,-30.0,0.0,0.0,0.0,16.0,1.0,-15.0
weighted-to-continuity-first,f05bb4ba1ebe8ecf0e95e0508ba8cba7463abb6f7c5a573eafb693c49e861cc0,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1001_critical.txt,40,20,4,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,608.0,576.0,-32.0,3.0,0.0,-3.0,12.0,0.0,-12.0
weighted-to-continuity-first,f927ebb65ee27c08aa667987adf8f8a250da1264d79c4928cd88971e4a6b004e,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1003_critical.txt,30,10,5,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,514.0,487.0,-27.0,7.0,0.0,-7.0,7.0,0.0,-7.0
weighted-to-continuity-first,fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,40,15,5,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,746.0,669.0,-77.0,16.0,3.0,-13.0,16.0,0.0,-16.0
continuity-first-to-overtime-first,017118e5960c7e18a239e77b1f198b44915ed895aea6f231bb872df91f90f0f2,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1003_critical.txt,40,10,5,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,648.0,648.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,40,25,4,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,575.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,08c9dd197d381bb1f7911fb0a8737b245d2c574183b871f4ce8688d8a15bcd12,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1003_critical.txt,40,15,5,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,657.0,657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,0a4cc1c9eac79eca9e0861f05de893ae18e2c331afdb25b03c6efb933da1d71a,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1001_critical.txt,30,10,4,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,410.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,0fa28a903cebd3a3dd85fef2874db9c94ef28e79ab436d5e05b1ed674d0dc046,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1001_critical.txt,40,10,5,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,1106683ff4d0a32c24be1898a1c47de6e406379be52c648767eb810adcb9134d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1003_critical.txt,30,25,4,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,416.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,13d35da4af1d246d1dc9e9e69e18e81522824e99442b070094b3ee6de84cff54,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1002_critical.txt,30,25,5,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,503.0,503.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,148c8679adee389f3bfb69e52584b46bc596198bb5146008050adc703b39182e,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1002_critical.txt,30,15,4,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,410.0,410.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,30,15,4,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,30,20,5,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,539.0,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,23421d631ba25e8a6e9fc662d65c83fe6fccb717088483d568dab2b286aa89db,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1002_critical.txt,40,15,4,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,521.0,521.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,2e89d655657e6565c5ecb975872229f2b89227e9d8d4becfc0d4e18894748b91,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1003_critical.txt,40,20,4,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,534.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,34bd64e4677b21f310faa4406545db874dca6ae220c9a65e8a35f01abe1b0955,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1002_critical.txt,30,20,4,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,411.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,395a48f8a39788bea86b6f70fb9ec6a2a924a9f8f08e8639adaf51dba4e7ae85,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1003_critical.txt,40,10,4,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,520.0,520.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,3df9ad93fd31450b47bc05e23b939b69e8ff446e817f1dae19bc71c5f2d8d73d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1003_critical.txt,40,25,4,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,537.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,4e512df627d17612d29d4a3e5f36bd78eb17641a1923ef501751875f036a5ae9,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1003_critical.txt,40,25,5,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,666.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,51df0f9f4a354e14ce203c3399ff72e9f90e0370b7b497467427e1d198dd119e,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1001_critical.txt,30,25,5,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,537.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,40,10,5,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,668.0,668.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,40,25,4,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,549.0,549.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,40,15,4,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,524.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,30,15,5,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,490.0,498.0,8.0,2.0,3.0,1.0,1.0,0.0,-1.0
continuity-first-to-overtime-first,639577696bca853293d2ae7d38a7ba6a70e96d5c5a65dbe9dd57285b00a779ad,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1002_critical.txt,30,10,5,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,491.0,491.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,64a7b2c2ff975f7b043d37a3b7cd606305b2dcbf5aed735f467f0ff6c51b422e,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1003_critical.txt,30,15,5,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,491.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,65de3dfdc16f9c773e9874c2357071bf31732b49485a995a839ed1f4d259a558,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1003_critical.txt,30,20,5,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,498.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,68e2b74d850c1069e78bc56681e6d252a2a8df6699aceb2e6aaffeff722beca0,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1003_critical.txt,30,20,4,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
