instance_sha256,instance,method,gurobi_status,cplex_status,status_agreement,both_optimum,objective_agreement,comparison_fields,gurobi_objective,cplex_objective
aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('200', '716')","('200', '716')"
aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('200', '659', '1', '0')","('200', '659', '1', '0')"
aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('200', '659', '1', '0')","('200', '659', '1', '0')"
bf02b641d1ae8d30c144fab0d28c5aca968d3331c2c020b30c1e45791af1e438,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('120', '418')","('120', '418')"
bf02b641d1ae8d30c144fab0d28c5aca968d3331c2c020b30c1e45791af1e438,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('120', '409', '2', '0')","('120', '409', '2', '0')"
bf02b641d1ae8d30c144fab0d28c5aca968d3331c2c020b30c1e45791af1e438,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('120', '409', '2', '0')","('120', '409', '2', '0')"
de23508d979db3048be208918f8d51242d991165e80c2414fca7a3ce4ee5b17d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('120', '430')","('120', '430')"
de23508d979db3048be208918f8d51242d991165e80c2414fca7a3ce4ee5b17d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('120', '422', '1', '1')","('120', '422', '1', '1')"
de23508d979db3048be208918f8d51242d991165e80c2414fca7a3ce4ee5b17d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('120', '422', '2', '0')","('120', '422', '2', '0')"
fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('200', '714')","('200', '714')"
fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('200', '669', '3', '0')","('200', '669', '3', '0')"
fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('200', '669', '3', '0')","('200', '669', '3', '0')"
